race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,4,4,ニシノテンカフブ,牡,6,56.0,475,-1,吉留孝,吉田正,111.0,1,1:24.3,38.5,2-5-4-3,5,475,-1
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,5,5,ララティーナ,牝,8,51.0,438,3,菅原吏,山下之,1.2,2,1:24.3,38.9,2-2-1-1,1,438,3
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,6,7,ビクエスト,牡,7,56.0,473,3,篠谷葵,矢内博,11.7,3,1:24.5,38.5,8-6-6-3,3,473,3
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,1,1,メイワシェリー,牝,8,54.0,450,11,岡村健,平山真,3.4,4,1:24.6,39.2,1-1-1-1,2,450,11
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,6,6,ワイキキビーチ,セ,0,56.0,452,6,秋元耕,鹿沼和,186.1,5,1:26.0,40.4,2-3-4-5,8,452,6
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,8,10,クラダイリン,牝,6,54.0,530,10,及川烈,長谷忍,120.2,6,1:26.1,39.3,11-11-10-8,7,530,10
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,3,3,スターコマチ,牝,7,54.0,416,4,半澤慶,川村守,408.0,7,1:26.2,39.8,8-9-8-7,10,416,4
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,2,2,シェナリオン,牡,6,54.0,460,0,中島良,冨田敏,303.1,8,1:26.6,40.3,6-6-9-10,9,460,0
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,7,9,バーサズバラード,牝,6,54.0,430,2,伊藤裕,平田正,499.2,9,1:26.8,40.0,10-10-10-10,11,430,2
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,7,8,セキレイオペラ,牡,7,56.0,488,10,七夕裕,川村守,116.5,10,1:27.0,41.5,5-3-3-6,6,488,10
2026/05/25,浦和,1,Ｃ３七,1300,ダ,左,重,晴,11,8,11,カラルナ,牝,6,54.0,464,3,櫻井光,林隆之,17.8,11,1:27.0,41.0,6-6-7-8,4,464,3
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,2,2,トランキルライト,牝,3,54.0,481,-5,笹川翼,小久智,1.7,1,1:29.9,39.6,1-1-1-1,1,481,-5
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,5,5,カズチャンペ,牡,3,56.0,504,22,岡村健,酒井一,14.3,2,1:30.7,40.1,6-5-3-3,5,504,22
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,7,7,マッドスピード,牡,3,56.0,441,2,本田重,山中尊,26.3,3,1:30.8,39.7,7-7-7-6,7,441,2
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,3,3,レモンドロップ,牝,3,54.0,436,-1,半澤慶,吉田正,13.4,4,1:31.0,40.4,4-3-3-4,4,436,-1
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,7,8,キャッスルプライド,牡,3,56.0,495,7,仲野光,長谷剛,16.8,5,1:31.0,40.6,4-5-1-2,6,495,7
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,6,6,サモアノカイジン,牡,3,56.0,509,5,笠野雄,平山真,62.5,6,1:31.1,40.0,9-8-6-5,9,509,5
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,8,9,オーバーユー,牡,3,56.0,463,-4,本田紀,河津裕,208.1,7,1:31.7,40.3,10-9-8-7,10,463,-4
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,8,10,サンシンメフレール,牝,3,54.0,465,-5,福原杏,野口寛,57.3,8,1:33.3,41.4,8-9-9-9,8,465,-5
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,1,1,ハーバーショー,牡,3,56.0,431,-7,和田譲,高月賢,9.7,9,1:34.2,43.9,1-1-3-8,3,431,-7
2026/05/25,浦和,2,ランチタイム３歳二,1400,ダ,左,稍重,晴,10,4,4,アルジェナー,牡,3,56.0,433,15,野畑凌,小澤宏,3.2,10,1:42.2,51.1,3-3-9-10,2,433,15
2026/05/25,浦和,3,ドリームチャレンジ２歳新馬イ,1400,ダ,左,稍重,晴,5,2,2,センチュリースター,牡,2,54.0,0,0,福原杏,水野貴,15.7,1,1:30.6,38.0,4-4-4-1,4,0,0
2026/05/25,浦和,3,ドリームチャレンジ２歳新馬イ,1400,ダ,左,稍重,晴,5,4,4,ケンシリウス,牡,2,54.0,0,0,藤本現,繁田健,5.1,2,1:30.8,38.5,3-3-3-2,3,0,0
2026/05/25,浦和,3,ドリームチャレンジ２歳新馬イ,1400,ダ,左,稍重,晴,5,5,5,インチャージ,牝,2,54.0,0,0,御神訓,藤原智,4.1,3,1:32.3,40.3,1-1-1-4,2,0,0
2026/05/25,浦和,3,ドリームチャレンジ２歳新馬イ,1400,ダ,左,稍重,晴,5,1,1,ウェイアヘッド,牡,2,54.0,0,0,笹川翼,小久智,1.3,4,1:32.5,40.5,1-1-1-2,1,0,0
2026/05/25,浦和,3,ドリームチャレンジ２歳新馬イ,1400,ダ,左,稍重,晴,5,3,3,ユウユウウタゲ,牝,2,54.0,0,0,秋元耕,酒井一,65.6,5,1:39.5,46.3,5-5-5-5,5,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,3,3,ワイルドウルル,牝,2,54.0,0,0,福原杏,小久智,2.6,1,0:48.9,36.0,4-3,2,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,5,5,ケンラパイド,牡,2,54.0,0,0,笹川翼,繁田健,1.4,2,0:48.9,36.2,1-1,1,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,1,1,ラグーンクィーン,牝,2,54.0,0,0,室陽一,川村守,15.2,3,0:49.5,36.8,1-2,3,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,6,6,ブリザードキャット,牝,2,54.0,0,0,及川烈,長谷忍,21.8,4,0:50.1,37.4,3-4,5,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,4,4,ユウユウコクトバ,牡,2,54.0,0,0,七夕裕,工藤伸,53.1,5,0:50.4,37.1,5-5,6,0,0
2026/05/25,浦和,4,ドリームチャレンジ２歳新馬ウ,800,ダ,左,稍重,晴,6,2,2,ダイバマアヤ,牝,2,54.0,0,0,野畑凌,箕輪武,21.2,6,0:50.7,37.2,6-6,4,0,0
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,7,10,フォーマイディア,牝,3,54.0,441,-2,古岡勇,河津裕,16.2,1,1:38.8,38.4,12-10-10-5,7,441,-2
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,2,2,オーサムジェンヌ,牝,3,53.0,444,1,中山遥,茂木浩,9.6,2,1:38.9,39.1,3-3-1-1,3,444,1
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,7,9,ビランチャ,牡,3,56.0,478,4,櫻井光,小久智,4.7,3,1:39.1,39.0,5-8-9-5,2,478,4
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,5,6,ソウモウクッキ,牡,3,56.0,462,-5,藤本現,高月賢,25.9,4,1:39.3,39.5,7-3-3-3,8,462,-5
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,1,1,モンゲータイム,牡,3,56.0,486,-13,佐野遥,鈴木義,44.3,5,1:39.4,40.0,1-1-1-2,10,486,-13
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,8,11,レフレール,牡,3,56.0,512,13,本田重,水野貴,11.8,6,1:39.4,39.5,4-5-5-4,5,512,13
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,8,12,エガリテアリエル,牝,3,54.0,436,-4,笹川翼,田中力,1.9,7,1:39.8,39.7,6-6-5-5,1,436,-4
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,5,5,エスプランドル,牡,3,56.0,514,2,室陽一,平山真,37.4,8,1:40.5,40.0,10-10-12-10,9,514,2
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,4,4,グリンネル,牡,3,56.0,448,1,小杉亮,伊藤滋,54.8,9,1:40.7,40.6,8-6-8-10,11,448,1
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,3,3,シナノフラッシュ,牡,3,56.0,489,-4,町田直,高月賢,10.0,10,1:40.8,40.7,8-9-7-9,4,489,-4
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,6,8,ウォールローゼ,牡,3,56.0,470,0,笠野雄,山中尊,284.6,11,1:40.9,40.6,11-10-11-12,12,470,0
2026/05/25,浦和,5,３歳三,1500,ダ,左,稍重,晴,12,6,7,ラスールフルール,牝,3,54.0,414,-5,野畑凌,山田質,13.9,12,1:41.2,41.6,2-2-4-8,6,414,-5
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,6,7,グラッツェ,牝,4,54.0,444,-8,笹川翼,野口寛,10.0,1,1:37.5,38.8,4-3-4-2,4,444,-8
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,7,9,トウカイディアマン,牝,4,54.0,472,9,澤田龍,宇野博,2.7,2,1:38.1,39.7,1-2-1-2,2,472,9
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,2,2,ダンシングエリカ,牝,5,53.0,432,4,中山遥,小林真,17.5,3,1:38.2,39.9,1-1-1-1,7,432,4
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,8,11,マロンルピナス,牝,6,54.0,434,-4,池谷匠,村田順,6.9,4,1:38.8,39.7,7-5-5-5,3,434,-4
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,7,8,ファイアスター,牡,5,56.0,479,-3,赤津和,工藤伸,39.0,5,1:38.9,40.4,3-3-3-4,8,479,-3
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,4,4,エクセルブラック,牡,5,56.0,467,10,藤本現,入口由,2.6,6,1:39.0,39.9,5-5-7-8,1,467,10
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,6,6,ロングビーチ,牝,5,54.0,414,2,菅原涼,藤原智,13.1,7,1:39.2,40.1,5-5-5-7,6,414,2
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,1,1,リラスカイ,牝,6,54.0,473,-2,佐野遥,山崎尋,11.4,8,1:39.2,39.9,7-8-7-6,5,473,-2
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,8,10,ニシノウール,牡,6,56.0,469,-2,國分祐,冨田敏,256.2,9,1:39.5,39.7,7-9-10-9,10,469,-2
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,5,5,カフェランデブー,牝,5,51.0,469,-2,加藤雄,吉橋淳,112.0,10,1:39.7,40.0,10-10-9-10,9,469,-2
2026/05/25,浦和,6,Ｃ２三 四,1500,ダ,左,稍重,晴,11,3,3,ブルドッグガール,牝,4,54.0,436,6,高橋哲,鹿沼和,259.5,11,1:40.6,40.5,10-11-11-11,11,436,6
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,2,2,アズキチャン,牝,4,54.0,491,18,和田譲,野口寛,6.2,1,1:30.1,39.7,1-1-1-1,3,491,18
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,7,8,クウレイナニ,牝,6,54.0,485,2,本田重,新井清,1.6,2,1:30.6,39.6,6-6-5-2,1,485,2
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,7,9,ジーティームテキ,セ,0,56.0,449,-7,野畑凌,小久智,23.7,3,1:30.9,39.6,7-7-6-5,5,449,-7
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,6,6,ハクシンダンス,牝,4,52.0,477,6,中島良,平山真,3.7,4,1:30.9,40.1,3-5-4-3,2,477,6
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,3,3,バトルホッパー,牡,7,56.0,492,2,澤田龍,横山保,42.9,5,1:31.2,39.5,7-8-8-5,7,492,2
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,8,10,ハヤオ,牡,4,56.0,430,-5,福原杏,鈴木勝,12.2,6,1:31.8,41.4,4-2-2-3,4,430,-5
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,5,5,ウェルキン,牝,5,54.0,430,2,中越琉,佐藤博,192.7,7,1:32.1,39.7,10-10-9-8,9,430,2
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,6,7,オリエンタルマック,牡,4,56.0,488,4,室陽一,酒井一,296.0,8,1:32.2,39.9,9-9-9-8,10,488,4
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,8,11,ツガノムサシ,牡,4,56.0,458,5,保園翔,長谷忍,86.9,9,1:32.4,41.8,5-2-3-5,8,458,5
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,1,1,シングンアーメット,セ,0,56.0,477,1,西啓太,山崎尋,28.1,10,1:32.7,40.1,11-11-11-10,6,477,1
2026/05/25,浦和,7,Ｃ２三 四,1400,ダ,左,稍重,晴,11,4,4,ウロンブランカ,牝,4,54.0,443,2,櫻井光,小澤宏,330.3,11,1:34.4,43.6,2-2-6-10,11,443,2
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,4,4,ジーティーアグリム,牝,5,54.0,540,-7,本田重,山崎尋,3.3,1,1:37.0,38.9,5-5-4-4,1,540,-7
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,6,7,オルペラー,牡,4,56.0,489,3,櫻井光,佐藤博,6.6,2,1:37.2,39.9,2-1-1-1,5,489,3
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,3,3,キャッスルエール,牝,4,54.0,429,1,仲野光,長谷剛,61.3,3,1:37.3,40.0,1-1-1-1,9,429,1
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,7,10,ヴィトーリアヘーザ,牝,4,54.0,496,0,町田直,酒井忍,4.7,4,1:37.3,39.8,3-3-3-3,3,496,0
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,8,11,ノーブルプラチナ,牡,4,56.0,539,-7,七夕裕,水野貴,50.0,5,1:37.6,39.4,5-5-6-6,8,539,-7
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,1,1,パロサント,牝,5,54.0,434,1,西啓太,藤原智,3.6,6,1:37.6,39.1,8-8-7-7,2,434,1
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,6,8,コンサントレ,牝,4,54.0,466,-7,福原杏,繁田健,6.4,7,1:37.6,39.5,4-4-4-4,4,466,-7
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,5,5,ビービーシャーンス,牡,6,56.0,483,-8,高橋利,玉井昇,21.5,8,1:37.9,38.2,12-12-12-11,7,483,-8
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,8,12,ディセントラライズ,牡,5,56.0,462,6,保園翔,小澤宏,62.0,9,1:38.0,38.9,10-11-9-8,10,462,6
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,2,2,ラブリーモンスター,牡,4,56.0,486,-1,秋元耕,海馬司,194.5,10,1:38.7,40.2,7-7-8-10,12,486,-1
2026/05/25,浦和,8,Ｃ１四,1500,ダ,左,稍重,晴,12,7,9,アパショナード,牡,7,56.0,436,6,吉留孝,薮口一,140.4,11,1:38.8,39.7,11-10-9-9,11,436,6
